,stockName,2021-09-30,2021-10-08,isRed
2887,新农开发,33833952.0,40158412.0,False
2888,华微电子,11351710.0,15720558.0,False
2889,华联综超,12251247.0,7951430.0,False
2890,江西铜业,34133292.0,23331238.0,True
2891,联创光电,4037554.0,4016347.0,True
2892,ST通葡,3549802.0,2930200.0,False
2893,宁波韵升,30961557.0,24816440.0,True
2894,红星发展,17774581.0,14852828.0,True
2895,五洲交通,9219453.0,10570423.0,False
2896,西南证券,35180525.0,29202981.0,False
2897,三房巷,11533254.0,22423025.0,True
2898,万向德农,2237736.0,6876500.0,False
2899,中航电子,11611967.0,7223380.0,False
2900,中文传媒,6991812.0,9579596.0,False
2901,汉马科技,10863055.0,10264398.0,False
2902,首开股份,5703663.0,4781201.0,False
2903,宁沪高速,6570901.0,6613348.0,False
2904,昊华科技,5686657.0,4543438.0,True
2905,宝光股份,20403177.0,14160703.0,True
2906,健康元,7363748.0,13221960.0,False
2907,青海春天,14808400.0,13150201.0,False
2908,*ST广珠,4736846.0,3661148.0,False
2909,金地集团,41726252.0,29743476.0,True
2910,*ST金泰,437800.0,165901.0,False
2911,北巴传媒,4248253.0,6647216.0,False
2912,ST海越,3913785.0,5435402.0,False
2913,龙净环保,22448419.0,19792831.0,True
2914,江山股份,8735578.0,6393532.0,True
2915,五矿资本,25585206.0,18943399.0,False
2916,航发科技,2261831.0,2404283.0,False
2917,盛和资源,56281963.0,50680688.0,True
2918,ST粤泰,16795900.0,20633500.0,False
2919,盘江股份,41467785.0,56709417.0,True
2920,金山股份,68122002.0,42660740.0,True
2921,安源煤业,48339203.0,42322300.0,True
2922,海澜之家,10768962.0,16691595.0,False
2923,抚顺特钢,25094156.0,35544305.0,True
2924,红豆股份,19372898.0,7873513.0,False
2925,退市海润,181581341.0,155605328.0,True
2926,ST大有,9915503.0,13100102.0,True
2927,动力源,7447391.0,7244926.0,True
2928,国电南瑞,37046667.0,35329864.0,True
2929,ST安泰,13761380.0,14778419.0,True
2930,三友化工,47943123.0,60783735.0,True
2931,华胜天成,9466772.0,7421531.0,False
2932,小商品城,17632020.0,18586470.0,False
2933,湘电股份,4666700.0,4113201.0,False
2934,江淮汽车,35496868.0,39882371.0,False
2935,天润乳业,3336101.0,6988624.0,False
2936,国药现代,4089872.0,15503225.0,False
2937,华嵘控股,1247540.0,1462242.0,False
2938,昆药集团,4635483.0,8097603.0,False
2939,柳化股份,4922100.0,8022553.0,True
2940,青松建化,22850065.0,20705678.0,True
2941,华鲁恒升,33219221.0,33063571.0,True
2942,中远海特,53227481.0,43611188.0,True
2943,三元股份,7489310.0,11203900.0,False
2944,退市吉恩,38297779.0,32952152.0,True
2945,冠豪高新,18156273.0,18419372.0,False
2946,北方导航,38847771.0,30971481.0,True
2947,片仔癀,9448380.0,7102496.0,False
2948,通威股份,61067387.0,62125952.0,True
2949,瑞贝卡,6354668.0,9817319.0,False
2950,国机通用,2616000.0,1949000.0,True
2951,金证股份,8693586.0,7804609.0,True
